created,text
Thu Oct 12 20:27:43 +0000 2017,"#GladysBerejiklian Donations For Access Rife in #NSWLibs 

https://t.co/Xo5YSOMdU7
#LNPCorruption
@NSWLabor
#Auspol #LNP #SpringSt #NSWpol"
Thu Oct 12 20:10:27 +0000 2017,I don’t think @NSWLabor got the message on gun control @billshortenmp because they keep preferencing the shooters and fishers.
Thu Oct 12 10:01:23 +0000 2017,@stukhan @NSWLabor But it makes for one hell of a scare campaign
Thu Oct 12 08:58:52 +0000 2017,".@NSWLabor supports keeping Springvale mine open, but new law greatly weakens protection of Sydney's drinking water.
https://t.co/gm5pjYfNmF"
Thu Oct 12 07:52:19 +0000 2017,RT @NSWLabor: What do you think ? https://t.co/KrtL2ErxfG
Thu Oct 12 07:19:22 +0000 2017,We need Labor in Goverment. Federal both houses @QLDLabor @NSWLabor @AustLabor https://t.co/N1QPKA5aRQ
Thu Oct 12 07:16:43 +0000 2017,Join @NSWLabor  @LyndaVoltzMP on Sunday in #Coffs for a discussion on the NSW Assisted Dying Bill #cowper https://t.co/Ea57xBfJaY
Thu Oct 12 06:23:35 +0000 2017,@NSWLabor No. Politicians need a pay cut.
Thu Oct 12 04:32:16 +0000 2017,RT @mackaysuzie: @kailamurnain @NSWLabor @Luke_FoleyNSW Is that what made Bernard Keane attack ?
Thu Oct 12 04:27:35 +0000 2017,@BellingenLabor @NSWNationals The @NSWLabor coal lobby should start taking climate change seriously. Banning nuclea… https://t.co/owEAmrgKR9
Thu Oct 12 03:05:50 +0000 2017,"@kailamurnain @NSWLabor @Luke_FoleyNSW You’re going to need more than Patrick, what ever happened to your animal we… https://t.co/pfUZxvuPBM"
Thu Oct 12 02:48:54 +0000 2017,@kailamurnain @NSWLabor @Luke_FoleyNSW Is that what made Bernard Keane attack ?
Thu Oct 12 00:54:44 +0000 2017,"@PennySharpemlc @NSWLabor If your argument is that it’s not economic, why do you need to ban it? Why not the the ma… https://t.co/QEUIj4p2BQ"
Thu Oct 12 00:40:20 +0000 2017,@stukhan @NSWLabor There comes a point where it comes off the table. It is time to take it off the table 2/2
Thu Oct 12 00:39:16 +0000 2017,"@stukhan @NSWLabor No disagreement. Leaving aside waste concerns, when do you acknowledge that it is too expensive… https://t.co/3aOIdIF8Vq"
Thu Oct 12 00:32:41 +0000 2017,@billshortenmp @NSWLabor Big mistake in preferencing Shooters party you fools. #auspol #nswpol #qldpol
