rider,place,grade,usual_grade,club,day,month
13960,,A,A,PenrithCC,2,1
15655,,A,A,WaratahMastersCC,2,1
15690,,A,A,SydneyCC,2,1
15360,,A,A,WaratahMastersCC,2,1
14316,,A,A,ManlyWarringahCC,2,1
13916,,A,A,LidcombeAuburnCC,2,1
13623,,A,A,WaratahMastersCC,2,1
13975,,A,A,WaratahMastersCC,2,1
13486,,A,A,LidcombeAuburnCC,2,1
13826,,A,A,ParramattaCC,2,1
15531,,A,B,LidcombeAuburnCC,2,1
14757,,A,A,Bicisport,2,1
14676,,A,A,Bicisport,2,1
15286,,A,A,ManlyWarringahCC,2,1
16032,,A,A,PelotonSports,2,1
13943,,A,A,WaratahMastersCC,2,1
13576,,A,A,PenrithCC,2,1
13106,,A,A,ManlyWarringahCC,2,1
14544,,A,A,PenrithCC,2,1
13621,,A,A,WaratahMastersCC,2,1
14755,,A,A,ManlyWarringahCC,2,1
13950,,A,A,Bicisport,2,1
15069,1,A,A,Bicisport,2,1
13201,2,A,A,PenrithCC,2,1
13432,3,A,A,MarconiCC,2,1
13057,4,A,A,LidcombeAuburnCC,2,1
15154,5,A,A,Bicisport,2,1
14298,,B,B,WaratahMastersCC,2,1
14819,,B,B,PenrithCC,2,1
13929,,B,B,WaratahMastersCC,2,1
15775,,B,B,RaphaCCSydney,2,1
14989,,B,B,LidcombeAuburnCC,2,1
15762,,B,B,WaratahMastersCC,2,1
14303,,B,B,WaratahMastersCC,2,1
16035,,B,B,Unknown,2,1
15152,,B,B,WaratahMastersCC,2,1
14849,,B,B,WaratahMastersCC,2,1
3661,,B,B,WaratahMastersCC,2,1
14229,,B,B,WaratahMastersCC,2,1
14123,,B,B,PenrithCC,2,1
15546,,B,B,WaratahMastersCC,2,1
14769,,B,B,EasternSuburbsCC,2,1
13886,,B,B,WaratahMastersCC,2,1
15149,,B,B,Unknown,2,1
14439,,B,B,WaratahMastersCC,2,1
12421,,B,B,WaratahMastersCC,2,1
12417,,B,B,WaratahMastersCC,2,1
14896,,B,B,WaratahMastersCC,2,1
5914,1,B,B,MarconiCC,2,1
16030,2,B,B,LidcombeAuburnCC,2,1
15460,3,B,B,SydneyUniVeloClub,2,1
13267,4,B,B,WaratahMastersCC,2,1
15652,5,B,B,WaratahMastersCC,2,1
15833,,C,C,WaratahMastersCC,2,1
12502,,C,C,WaratahMastersCC,2,1
14691,,C,C,WaratahMastersCC,2,1
12716,,C,C,HunterDistrictCC,2,1
14701,,C,C,WaratahMastersCC,2,1
14531,,C,C,WaratahMastersCC,2,1
12596,,C,C,MarconiCC,2,1
12730,,C,C,WaratahMastersCC,2,1
15576,,C,C,WaratahMastersCC,2,1
14124,,C,C,PenrithCC,2,1
13562,,C,C,WaratahMastersCC,2,1
12768,,C,C,ParramattaCC,2,1
14571,,C,C,RandwickBotanyCC,2,1
13847,,C,C,PenrithCC,2,1
12374,,C,C,WaratahMastersCC,2,1
15686,,C,C,ManlyWarringahCC,2,1
14338,,C,C,WaratahMastersCC,2,1
15174,,C,C,ArmidaleCC,2,1
15497,,C,C,MarconiCC,2,1
14330,,C,C,CaravelloCC,2,1
15838,,C,C,StGeorgeCC,2,1
14148,,C,C,WaratahMastersCC,2,1
14627,,C,C,LidcombeAuburnCC,2,1
15548,,C,C,WaratahMastersCC,2,1
14775,,C,C,WaratahMastersCC,2,1
14388,,C,C,WaratahMastersCC,2,1
13442,,C,C,WaratahMastersCC,2,1
13559,,C,C,WaratahMastersCC,2,1
3692,,C,C,WaratahMastersCC,2,1
14890,,C,C,WaratahMastersCC,2,1
13185,,C,B,LidcombeAuburnCC,2,1
13764,,C,C,NowraVeloClub,2,1
15260,,C,C,SutherlandShireCC,2,1
15736,1,C,C,PenrithCC,2,1
12479,2,C,C,WaratahMastersCC,2,1
15051,3,C,C,ParklifeCC,2,1
15521,4,C,C,WaratahMastersCC,2,1
15992,5,C,C,SydneyCC,2,1
12481,,D,D,WaratahMastersCC,2,1
3655,,D,D,WaratahMastersCC,2,1
5058,,D,D,WaratahMastersCC,2,1
15810,,D,C,WaratahMastersCC,2,1
12576,,D,D,MarconiCC,2,1
13712,,D,D,MarconiCC,2,1
16033,,D,D,MarconiCC,2,1
12478,,D,D,WaratahMastersCC,2,1
13920,,D,D,LidcombeAuburnCC,2,1
13780,,D,D,WaratahMastersCC,2,1
12603,,D,D,BankstownSportsCC,2,1
14246,,D,C,WaratahMastersCC,2,1
12345,,D,D,WaratahMastersCC,2,1
12535,,D,D,LidcombeAuburnCC,2,1
15827,,D,D,StGeorgeCC,2,1
12439,,D,D,WaratahMastersCC,2,1
15150,,D,D,SutherlandShireCC,2,1
12468,,D,D,WaratahMastersCC,2,1
12494,,D,D,WaratahMastersCC,2,1
12465,,D,D,PenrithCC,2,1
14491,1,D,D,LidcombeAuburnCC,2,1
15099,2,D,D,LidcombeAuburnCC,2,1
14830,3,D,D,WaratahMastersCC,2,1
12334,4,D,D,WaratahMastersCC,2,1
12358,5,D,D,WaratahMastersCC,2,1
12819,,E,E,CaravelloCC,2,1
12909,,E,E,WaratahMastersCC,2,1
14115,,E,D,WaratahMastersCC,2,1
13774,,E,D,ParramattaCC,2,1
12335,1,E,E,WaratahMastersCC,2,1
12538,2,E,E,ParramattaCC,2,1
15020,,F,F,WaratahMastersCC,2,1
12425,,F,F,WaratahMastersCC,2,1
15924,,F,F,WaratahMastersCC,2,1
12383,1,F,F,WaratahMastersCC,2,1
14945,,A,A,ParklifeCC,8,1
14536,,A,A,PenrithCC,8,1
13432,,A,A,MarconiCC,8,1
13865,,A,A,CaravelloCC,8,1
15201,,A,A,PenrithCC,8,1
15530,,A,A,SydneyCC,8,1
15540,,A,A,PelotonSports,8,1
15228,,A,A,ManlyWarringahCC,8,1
14650,,A,A,ParramattaCC,8,1
15244,,A,A,ParramattaCC,8,1
13957,,A,A,NorthernSydneyCC,8,1
13943,,A,A,WaratahMastersCC,8,1
14509,,A,A,PenrithCC,8,1
13916,,A,A,LidcombeAuburnCC,8,1
13960,,A,A,PenrithCC,8,1
13826,,A,A,ParramattaCC,8,1
15491,,A,A,ManlyWarringahCC,8,1
12812,,A,A,PenrithCC,8,1
13876,,A,A,PenrithCC,8,1
15655,,A,A,WaratahMastersCC,8,1
14383,,A,A,LidcombeAuburnCC,8,1
16036,,A,A,LidcombeAuburnCC,8,1
13975,,A,A,WaratahMastersCC,8,1
15679,1,A,A,NorthWesternSydneyCC,8,1
16009,2,A,A,LidcombeAuburnCC,8,1
15069,3,A,A,Bicisport,8,1
13114,4,A,A,PenrithCC,8,1
15541,5,A,A,StGeorgeCC,8,1
13704,,B,B,RandwickBotanyCC,8,1
15348,,B,B,WaratahMastersCC,8,1
3638,,B,B,WaratahMastersCC,8,1
14210,,B,B,WaratahMastersCC,8,1
13792,,B,A,StGeorgeCC,8,1
14303,,B,B,WaratahMastersCC,8,1
15546,,B,B,WaratahMastersCC,8,1
14819,,B,B,PenrithCC,8,1
13579,,B,B,SouthernHighlandsCC,8,1
15842,,B,B,PortMacquarieCC,8,1
14849,,B,B,WaratahMastersCC,8,1
15360,,B,B,WaratahMastersCC,8,1
15238,,B,B,ADFCycling,8,1
15652,,B,B,WaratahMastersCC,8,1
14769,,B,B,EasternSuburbsCC,8,1
13886,,B,B,WaratahMastersCC,8,1
12510,,B,B,IllawarraCC,8,1
12704,,B,B,EasternSuburbsCC,8,1
12421,,B,B,WaratahMastersCC,8,1
16037,,B,B,PelotonSports,8,1
3661,,B,B,WaratahMastersCC,8,1
5914,,B,B,MarconiCC,8,1
15762,,B,B,WaratahMastersCC,8,1
15149,,B,B,Unknown,8,1
12524,,B,B,WaratahMastersCC,8,1
15446,,B,B,NorthWesternSydneyCC,8,1
15749,,B,B,NorthWesternSydneyCC,8,1
15531,,B,B,LidcombeAuburnCC,8,1
14300,,B,B,ParklifeCC,8,1
15185,,B,B,WaratahMastersCC,8,1
13857,,B,B,SouthernCrossCC,8,1
15651,,B,B,WaratahMastersCC,8,1
12417,,B,B,WaratahMastersCC,8,1
15168,1,B,B,ManlyWarringahCC,8,1
14678,2,B,B,LidcombeAuburnCC,8,1
15079,3,B,C,MarconiCC,8,1
14439,4,B,B,WaratahMastersCC,8,1
14229,5,B,B,WaratahMastersCC,8,1
15800,,C,C,NorthWesternSydneyCC,8,1
15750,,C,C,NorthWesternSydneyCC,8,1
3692,,C,C,WaratahMastersCC,8,1
13442,,C,C,WaratahMastersCC,8,1
12628,,C,C,PenrithCC,8,1
12374,,C,C,WaratahMastersCC,8,1
13949,,C,C,PenrithCC,8,1
15756,,C,C,NorthWesternSydneyCC,8,1
14890,,C,C,WaratahMastersCC,8,1
14148,,C,C,WaratahMastersCC,8,1
15436,,C,C,WaratahMastersCC,8,1
15349,,C,B,WaratahMastersCC,8,1
12595,,C,C,Bicisport,8,1
15171,,C,C,DulwichHillBC,8,1
12412,,C,C,WaratahMastersCC,8,1
12778,,C,C,WaratahMastersCC,8,1
12716,,C,C,HunterDistrictCC,8,1
15877,,C,C,WaratahMastersCC,8,1
13501,,C,C,MarconiCC,8,1
14775,,C,C,WaratahMastersCC,8,1
14388,,C,C,WaratahMastersCC,8,1
14691,,C,C,WaratahMastersCC,8,1
15810,,C,C,WaratahMastersCC,8,1
12479,,C,C,WaratahMastersCC,8,1
15992,,C,C,SydneyCC,8,1
14701,,C,C,WaratahMastersCC,8,1
14338,,C,C,WaratahMastersCC,8,1
14531,,C,C,WaratahMastersCC,8,1
15395,,C,C,GiantCCSydney,8,1
12730,,C,C,WaratahMastersCC,8,1
15576,,C,C,WaratahMastersCC,8,1
15838,,C,C,StGeorgeCC,8,1
5458,,C,C,WaratahMastersCC,8,1
12596,,C,C,MarconiCC,8,1
13209,,C,C,NowraVeloClub,8,1
12443,,C,C,WaratahMastersCC,8,1
12768,,C,C,ParramattaCC,8,1
15521,1,C,C,WaratahMastersCC,8,1
14330,2,C,C,CaravelloCC,8,1
15833,3,C,B,WaratahMastersCC,8,1
15859,4,C,D,WaratahMastersCC,8,1
15224,5,C,C,RandwickBotanyCC,8,1
13437,,D,D,WaratahMastersCC,8,1
12603,,D,D,BankstownSportsCC,8,1
15878,,D,D,SydneyUniVeloClub,8,1
12345,,D,E,WaratahMastersCC,8,1
15256,,D,D,WaratahMastersCC,8,1
5058,,D,D,WaratahMastersCC,8,1
12481,,D,D,WaratahMastersCC,8,1
14491,,D,D,LidcombeAuburnCC,8,1
15099,,D,D,LidcombeAuburnCC,8,1
14791,,D,D,WaratahMastersCC,8,1
15150,,D,D,SutherlandShireCC,8,1
16033,,D,D,MarconiCC,8,1
12679,,D,D,WaratahMastersCC,8,1
12621,,D,D,WaratahMastersCC,8,1
13699,,D,D,RandwickBotanyCC,8,1
12385,,D,D,WaratahMastersCC,8,1
16038,,D,D,PelotonSports,8,1
12576,,D,D,MarconiCC,8,1
12371,,D,D,WaratahMastersCC,8,1
13712,,D,D,MarconiCC,8,1
15977,,D,D,ParklifeCC,8,1
13774,,D,D,ParramattaCC,8,1
14115,,D,D,WaratahMastersCC,8,1
14866,,D,D,RandwickBotanyCC,8,1
12535,1,D,C,LidcombeAuburnCC,8,1
12334,2,D,D,WaratahMastersCC,8,1
14830,3,D,D,WaratahMastersCC,8,1
15981,4,D,D,NorthWesternSydneyCC,8,1
15827,5,D,D,StGeorgeCC,8,1
13424,,E,E,WaratahMastersCC,8,1
15761,,E,E,WaratahMastersCC,8,1
12647,,E,E,WaratahMastersCC,8,1
12494,,E,E,WaratahMastersCC,8,1
15517,,E,E,WaratahMastersCC,8,1
12347,,E,E,WaratahMastersCC,8,1
12909,1,E,E,WaratahMastersCC,8,1
12335,2,E,E,WaratahMastersCC,8,1
12437,,F,F,WaratahMastersCC,8,1
15924,,F,F,WaratahMastersCC,8,1
12425,,F,F,WaratahMastersCC,8,1
12383,1,F,F,WaratahMastersCC,8,1
15655,,A,A,WaratahMastersCC,15,1
14558,,A,A,NorthernSydneyCC,15,1
15360,,A,B,WaratahMastersCC,15,1
14349,,A,A,ParramattaCC,15,1
13064,,A,A,ParramattaCC,15,1
13826,,A,A,ParramattaCC,15,1
12895,,A,A,MarconiCC,15,1
13943,,A,A,WaratahMastersCC,15,1
15903,,A,B,RandwickBotanyCC,15,1
12699,,A,A,MarconiCC,15,1
13957,,A,A,NorthernSydneyCC,15,1
12336,,A,A,WaratahMastersCC,15,1
14509,,A,A,PenrithCC,15,1
15491,,A,A,ManlyWarringahCC,15,1
14538,,A,A,WaratahMastersCC,15,1
14631,,A,A,LidcombeAuburnCC,15,1
15666,,A,A,LidcombeAuburnCC,15,1
13865,,A,A,CaravelloCC,15,1
15145,,A,A,RandwickBotanyCC,15,1
15530,,A,A,SydneyCC,15,1
15069,,A,A,Bicisport,15,1
15693,,A,A,ManlyWarringahCC,15,1
13432,1,A,A,MarconiCC,15,1
13114,2,A,A,PenrithCC,15,1
14495,3,A,A,ParramattaCC,15,1
15089,4,A,A,SydneyCC,15,1
13916,5,A,A,LidcombeAuburnCC,15,1
15238,,B,B,ADFCycling,15,1
12552,,B,B,PenrithCC,15,1
15651,,B,B,WaratahMastersCC,15,1
15877,,B,C,WaratahMastersCC,15,1
12524,,B,B,WaratahMastersCC,15,1
14579,,B,B,PenrithCC,15,1
15464,,B,B,ManlyWarringahCC,15,1
5914,,B,B,MarconiCC,15,1
12704,,B,B,EasternSuburbsCC,15,1
12510,,B,B,IllawarraCC,15,1
15381,,B,B,BankstownSportsCC,15,1
13792,,B,B,StGeorgeCC,15,1
13793,,B,B,PenrithCC,15,1
14864,,B,B,ManlyWarringahCC,15,1
15149,,B,B,Unknown,15,1
15972,,B,B,SydneyCC,15,1
14229,,B,B,WaratahMastersCC,15,1
13579,,B,B,SouthernHighlandsCC,15,1
